NS-T0,NS-T14,ME-T0,ME-T14,NH-T0,NH-T14,FIELD-T0,FIELD-T14,MA-T0,MA-T14,SC-T0,SC-T14,FL-T0,FL-T14
g__Tequatrovirus,g__Nilusvirus,g__Chlorovirus,g__Krischvirus,g__unclassified Caudoviricetes genus,g__Chlorovirus,g__Nilusvirus,g__Ronodorvirus,g__Brunovirus,g__unclassified Phycodnaviridae genus,g__Wellingtonvirus,g__Betaentomopoxvirus,g__Kratiovirus,g__Tangaroavirus
g__Tequatrovirus,g__Vellamovirus,g__Prasinovirus,g__unclassified Phycodnaviridae genus,g__unclassified Caudoviricetes genus,g__Lingvirus,g__Nilusvirus,g__Ronodorvirus,g__Dexdertvirus,g__unclassified Phycodnaviridae genus,g__Machinavirus,g__Orthopoxvirus,g__unclassified Caudoviricetes genus,g__Cheungvirus
g__Epseptimavirus,g__Vellamovirus,g__Prasinovirus,g__Emcearvirus,g__Lederbergvirus,g__Tritonvirus,g__Nilusvirus,g__Greenvirus,g__Tequintavirus,g__unclassified Phycodnaviridae genus,g__Derbicusvirus,g__Orthopoxvirus,g__unclassified Caudoviricetes genus,g__Eurybiavirus
g__Tequatrovirus,g__Thaumasvirus,g__Vellamovirus,g__Emcearvirus,g__Pepyhexavirus,g__Ormenosvirus,g__Vellamovirus,g__Leucotheavirus,g__Traversvirus,g__unclassified Phycodnaviridae genus,g__Machinavirus,g__Orthopoxvirus,g__Tequintavirus,g__Eurybiavirus
g__Cheoctovirus,g__Thaumasvirus,g__Thaumasvirus,g__Ronodorvirus,g__Pepyhexavirus,g__Ormenosvirus,g__Vellamovirus,g__Leucotheavirus,g__Cheoctovirus,g__unclassified Caudoviricetes genus,g__Smoothievirus,g__Yatapoxvirus,g__Brunovirus,g__Eurybiavirus
g__Cheoctovirus,g__Tangaroavirus,g__Glaucusvirus,g__Ronodorvirus,g__Rheavirus,g__Chunghsingvirus,g__Vellamovirus,g__Gibbetvirus,g__Cheoctovirus,g__Aorunvirus,g__Hedwigvirus,g__Avipoxvirus,g__Felsduovirus,g__Eurybiavirus
g__Epseptimavirus,g__Tritonvirus,g__Krischvirus,g__Ronodorvirus,g__Marseillevirus,g__Chunghsingvirus,g__Thaumasvirus,g__Gibbetvirus,g__Cheoctovirus,g__Aorunvirus,g__Nymphadoravirus,g__Avipoxvirus,g__Tequintavirus,g__unclassified Phycodnaviridae genus
g__Cheoctovirus,g__Brizovirus,g__Carltongylesvirus,g__Greenvirus,g__Lederbergvirus,g__Chlorovirus,g__Tangaroavirus,g__unclassified Caudoviricetes genus,g__Cheoctovirus,g__Aorunvirus,g__Weaselvirus,g__Chlorovirus,g__Traversvirus,g__unclassified Phycodnaviridae genus
g__Eneladusvirus,g__Brizovirus,g__Kuttervirus,g__Greenvirus,g__Lederbergvirus,g__Chlorovirus,g__Tritonvirus,g__Avipoxvirus,g__Cheoctovirus,g__Aorunvirus,g__Chlorovirus,g__Myxoctovirus,g__Dongdastvirus,g__unclassified Phycodnaviridae genus
g__Tequatrovirus,g__Ahtivirus,g__unclassified Phycodnaviridae genus,g__Leucotheavirus,g__Lederbergvirus,g__unclassified Caudoviricetes genus,g__Brizovirus,g__unclassified Caudoviricetes genus,g__Cheoctovirus,g__Detrevirus,g__Aqualcavirus,g__unclassified Caudoviricetes genus,g__Cheoctovirus,g__unclassified Phycodnaviridae genus
g__Tequatrovirus,g__Ahtivirus,g__unclassified Phycodnaviridae genus,g__Leucotheavirus,g__unclassified Caudoviricetes genus,g__Thetisvirus,g__Brizovirus,g__Neptunevirus,g__Cheoctovirus,g__Detrevirus,g__unclassified Viruses genus,g__Oryzopoxvirus,g__Cheoctovirus,g__unclassified Phycodnaviridae genus
g__Tequatrovirus,g__Pontusvirus,g__unclassified Phycodnaviridae genus,g__Leucotheavirus,g__Sednavirus,g__Thetisvirus,g__Ahtivirus,g__Neptunevirus,g__Cheoctovirus,g__Emcearvirus,g__Marseillevirus,g__Deltaentomopoxvirus,g__Dhillonvirus,g__unclassified Phycodnaviridae genus
g__Tequintavirus,g__Pontusvirus,g__unclassified Caudoviricetes genus,g__Gibbetvirus,g__Kajamvirus,g__Nilusvirus,g__Ahtivirus,g__Rheavirus,g__Cheoctovirus,g__Emcearvirus,g__Eneladusvirus,g__Traversvirus,g__Marseillevirus,g__Aegirvirus
g__Avipoxvirus,g__Glaucusvirus,g__Agtrevirus,g__Gibbetvirus,g__Broinstvirus,g__Nilusvirus,g__Pontusvirus,g__Marseillevirus,g__Timquatrovirus,g__Ronodorvirus,g__Nanhaivirus,g__Parapoxvirus,g__Tequintavirus,g__Yuavirus
g__Tequatrovirus,g__Glaucusvirus,g__unclassified Caudoviricetes genus,g__Gibbetvirus,g__Raunefjordenvirus,g__Nilusvirus,g__Pontusvirus,g__Pekhitvirus,g__Marseillevirus,g__Ronodorvirus,g__Kalppathivirus,g__Yatapoxvirus,g__unclassified Bicaudaviridae genus,g__unclassified Caudoviricetes genus
g__Tequatrovirus,g__Glaucusvirus,g__Rheavirus,g__Pankowvirus,g__Poseidonvirus,g__Vellamovirus,g__Glaucusvirus,g__Pagavirus,g__Tequintavirus,g__Ronodorvirus,g__Marthavirus,g__Beetrevirus,g__unclassified Caudoviricetes genus,g__Gilesvirus
g__Prasinovirus,g__Lipsvirus,g__Rheavirus,g__unclassified Caudoviricetes genus,g__Poseidonvirus,g__Vellamovirus,g__Glaucusvirus,g__Powvirus,g__Cheoctovirus,g__Greenvirus,g__Klausavirus,g__Orthopoxvirus,g__Traversvirus,g__Lambdavirus
g__Tequatrovirus,g__Palaemonvirus,g__Marseillevirus,g__Jilinvirus,g__unclassified Caudoviricetes genus,g__Thaumasvirus,g__Lipsvirus,g__Anaposvirus,g__unclassified Caudoviricetes genus,g__Greenvirus,g__unclassified Phycodnaviridae genus,g__Coccolithovirus,g__Traversvirus,g__Aorunvirus
g__Tequatrovirus,g__Palaemonvirus,g__Marseillevirus,g__Neptunevirus,g__unclassified Caudoviricetes genus,g__Tangaroavirus,g__Palaemonvirus,g__Anaposvirus,g__unclassified Caudoviricetes genus,g__Greenvirus,g__Marthavirus,g__Traversvirus,g__Marseillevirus,g__Detrevirus
g__Tequatrovirus,g__Tangaroavirus,g__Slopekvirus,g__Neptunevirus,g__Prasinovirus,g__Tritonvirus,g__Tangaroavirus,g__Neritesvirus,g__Paundecimvirus,g__Leucotheavirus,g__Bragavirus,g__Traversvirus,g__Epseptimavirus,g__Detrevirus
g__Pandoravirus,g__Cheungvirus,g__Karamvirus,g__Rheavirus,g__unclassified Straboviridae genus,g__Brizovirus,g__Cheungvirus,g__Neritesvirus,g__Traversvirus,g__Leucotheavirus,g__Risingsunvirus,g__Marienburgvirus,g__Epseptimavirus,g__Emcearvirus
g__Pandoravirus,g__Eurybiavirus,g__Prasinovirus,g__Rheavirus,g__Obolenskvirus,g__Brizovirus,g__Eurybiavirus,g__Tefnutvirus,g__Traversvirus,g__Leucotheavirus,g__Myrnavirus,g__Mimivirus,g__Chakrabartyvirus,g__Ronodorvirus
g__Pandoravirus,g__Eurybiavirus,g__Prasinovirus,g__Marseillevirus,g__Sednavirus,g__Ahtivirus,g__Eurybiavirus,g__Tefnutvirus,g__Marseillevirus,g__Iodovirus,g__Myrnavirus,g__Uetakevirus,g__Baxterfoxvirus,g__Ronodorvirus
g__Cheoctovirus,g__Eurybiavirus,g__Angelvirus,g__Prasinovirus,g__unclassified Caudoviricetes genus,g__Ahtivirus,g__Eurybiavirus,g__Sednavirus,g__Epseptimavirus,g__Gibbetvirus,g__unclassified Iridoviridae genus,g__Lederbergvirus,g__Marseillevirus,g__Greenvirus
g__Cheoctovirus,g__Eurybiavirus,g__Kuttervirus,g__Slopekvirus,g__Eurybiavirus,g__Pontusvirus,g__Eurybiavirus,g__Kajamvirus,g__Epseptimavirus,g__Gibbetvirus,g__Decapodiridovirus,g__Lederbergvirus,g__Tlsvirus,g__Leucotheavirus
g__Thetabobvirus,g__Eurybiavirus,g__unclassified Marseilleviridae genus,g__Karamvirus,g__unclassified Caudoviricetes genus,g__Pontusvirus,g__Eurybiavirus,g__Llyrvirus,g__Punavirus,g__Gibbetvirus,g__Eneladusvirus,g__Lederbergvirus,g__Johnsonvirus,g__Leucotheavirus
g__Tequatrovirus,g__Eurybiavirus,g__unclassified Marseilleviridae genus,g__Pekhitvirus,g__Angelvirus,g__Glaucusvirus,g__Eurybiavirus,g__Llyrvirus,g__Attisvirus,g__Pankowvirus,g__Avipoxvirus,g__Lederbergvirus,g__Traversvirus,g__Bixzunavirus
g__Tequatrovirus,g__Krischvirus,g__Tequatrovirus,g__Pagavirus,g__Plymouthvirus,g__Glaucusvirus,g__unclassified Caudoviricetes genus,g__Llyrvirus,g__Baxterfoxvirus,g__unclassified Caudoviricetes genus,g__Avipoxvirus,g__Lederbergvirus,g__Traversvirus,g__Bixzunavirus
g__Lazarusvirus,g__unclassified Phycodnaviridae genus,g__Kostyavirus,g__Powvirus,g__unclassified Kyanoviridae genus,g__Lipsvirus,g__Krischvirus,g__unclassified Caudoviricetes genus,g__Nymphadoravirus,g__unclassified Caudoviricetes genus,g__Bragavirus,g__unclassified Caudoviricetes genus,g__Tequintavirus,g__Bixzunavirus
g__Punavirus,g__unclassified Phycodnaviridae genus,g__Kostyavirus,g__Anaposvirus,g__unclassified Caudoviricetes genus,g__Palaemonvirus,g__Carltongylesvirus,g__Broinstvirus,g__Nymphadoravirus,g__Agtrevirus,g__Fernvirus,g__unclassified Caudoviricetes genus,g__Uetakevirus,g__Bixzunavirus
g__Punavirus,g__unclassified Phycodnaviridae genus,g__Cheoctovirus,g__Anaposvirus,g__Cheoctovirus,g__Tangaroavirus,g__Kuttervirus,g__unclassified Caudoviricetes genus,g__Leonardvirus,g__Neptunevirus,g__Fernvirus,g__Nodensvirus,g__Dhillonvirus,g__Iodovirus
g__Tequintavirus,g__unclassified Phycodnaviridae genus,g__Cheoctovirus,g__Anaposvirus,g__unclassified Caudoviricetes genus,g__Cheungvirus,g__unclassified Phycodnaviridae genus,g__Raunefjordenvirus,g__Attisvirus,g__Neptunevirus,g__Prasinovirus,g__Nodensvirus,g__Dhillonvirus,g__Gibbetvirus
g__Tequintavirus,g__unclassified Phycodnaviridae genus,g__Thaumasvirus,g__Neritesvirus,g__Mohonavirus,g__Eurybiavirus,g__unclassified Phycodnaviridae genus,g__Poseidonvirus,g__Baxterfoxvirus,g__Rheavirus,g__Kelquatrovirus,g__Nazgulvirus,g__Kratiovirus,g__Gibbetvirus
g__Tequatrovirus,g__Yuavirus,g__Tequatrovirus,g__Neritesvirus,g__unclassified Marseilleviridae genus,g__Eurybiavirus,g__unclassified Phycodnaviridae genus,g__Poseidonvirus,g__Marseillevirus,g__Marseillevirus,g__Cheoctovirus,g__Nazgulvirus,g__Jiaodavirus,g__unclassified Caudoviricetes genus
g__Tequatrovirus,g__Gilesvirus,g__Tequatrovirus,g__Tefnutvirus,g__unclassified Marseilleviridae genus,g__Eurybiavirus,g__unclassified Phycodnaviridae genus,g__Prasinovirus,g__Tequatrovirus,g__Lederbergvirus,g__Punavirus,g__Prymnesiovirus,g__Chlorovirus,g__Pankowvirus
g__Epseptimavirus,g__Emcearvirus,g__Kostyavirus,g__Tefnutvirus,g__Kostyavirus,g__Eurybiavirus,g__Gilesvirus,g__Lirvirus,g__Wizardvirus,g__Lederbergvirus,g__Fernvirus,g__Pankowvirus,g__Tequintavirus,g__Pankowvirus
g__Epseptimavirus,g__Ronodorvirus,g__Megavirus,g__Sednavirus,g__Kostyavirus,g__unclassified Caudoviricetes genus,g__Emcearvirus,g__Lirvirus,g__Traversvirus,g__Lederbergvirus,g__Fernvirus,g__Ranavirus,g__Marseillevirus,g__unclassified Caudoviricetes genus
g__Epseptimavirus,g__Ronodorvirus,g__Megavirus,g__Kajamvirus,g__Cheoctovirus,g__unclassified Phycodnaviridae genus,g__Emcearvirus,g__Neptunevirus,g__Traversvirus,g__Lederbergvirus,g__Fernvirus,g__Ranavirus,g__Tequintavirus,g__unclassified Caudoviricetes genus
g__Epseptimavirus,g__Ronodorvirus,g__Kuttervirus,g__Llyrvirus,g__Cheoctovirus,g__unclassified Phycodnaviridae genus,g__Ronodorvirus,g__Neptunevirus,g__Tequintavirus,g__Pekhitvirus,g__Fernvirus,g__Salacisavirus,g__Tunavirus,g__Lederbergvirus
g__Epseptimavirus,g__Greenvirus,g__Nonanavirus,g__Llyrvirus,g__Thaumasvirus,g__Yuavirus,g__Ronodorvirus,g__Nerrivikvirus,g__Machinavirus,g__Pagavirus,g__Wellingtonvirus,g__Salacisavirus,g__Tequintavirus,g__Bixzunavirus
g__Tequintavirus,g__Greenvirus,g__Petsuvirus,g__Llyrvirus,g__unclassified Aliceevansviridae genus,g__Detrevirus,g__Ronodorvirus,g__Nerrivikvirus,g__Machinavirus,g__Powvirus,g__Pleakleyvirus,g__Ronodorvirus,g__Noxifervirus,g__unclassified Caudoviricetes genus
g__Epseptimavirus,g__Leucotheavirus,g__unclassified Caudoviricetes genus,g__unclassified Caudoviricetes genus,g__Charlievirus,g__Emcearvirus,g__Greenvirus,g__Neptunevirus,g__Wellingtonvirus,g__unclassified Caudoviricetes genus,g__Klausavirus,g__Ronodorvirus,g__Tequintavirus,g__Dhillonvirus
g__Epseptimavirus,g__Leucotheavirus,g__Slopekvirus,g__Poseidonvirus,g__Bignuzvirus,g__Ronodorvirus,g__Greenvirus,g__Neptunevirus,g__Machinavirus,g__Anaposvirus,g__Tequatrovirus,g__Ronodorvirus,g__Tequintavirus,g__unclassified Caudoviricetes genus
g__Epseptimavirus,g__Bixzunavirus,g__Ahduovirus,g__Poseidonvirus,g__Fishburnevirus,g__Ronodorvirus,g__Leucotheavirus,g__Prasinovirus,g__Derbicusvirus,g__Anaposvirus,g__Armstrongvirus,g__Jerseyvirus,g__unclassified Phycodnaviridae genus,g__Cimpunavirus
g__Jiaodavirus,g__Bixzunavirus,g__Pseudotevenvirus,g__Prasinovirus,g__unclassified Caudoviricetes genus,g__Greenvirus,g__Leucotheavirus,g__Prasinovirus,g__Machinavirus,g__Anaposvirus,g__Octobienvirus,g__unclassified Caudoviricetes genus,g__Epseptimavirus,g__Neptunevirus
g__Mosigvirus,g__Bixzunavirus,g__Tequatrovirus,g__Prasinovirus,g__Megavirus,g__Leucotheavirus,g__Pemunavirus,g__Tangaroavirus,g__Wizardvirus,g__Neritesvirus,g__Goslarvirus,g__Cervidpoxvirus,g__Tequintavirus,g__Neptunevirus
g__Lazarusvirus,g__Bixzunavirus,g__Alcyoneusvirus,g__Prasinovirus,g__unclassified Caudoviricetes genus,g__Leucotheavirus,g__Gibbetvirus,g__Sednavirus,g__Nymphadoravirus,g__Neritesvirus,g__Dagavirus,g__Chlorovirus,g__Epseptimavirus,g__Rheavirus
g__Cheoctovirus,g__Gibbetvirus,g__Fromanvirus,g__Lirvirus,g__Uetakevirus,g__Gibbetvirus,g__Gibbetvirus,g__Eurybiavirus,g__Cheoctovirus,g__Tefnutvirus,g__Vimunumvirus,g__Ascovirus,g__unclassified Iridoviridae genus,g__Rheavirus
g__Cheoctovirus,g__Gibbetvirus,g__Tequatrovirus,g__Lirvirus,g__Capnelvirus,g__Gibbetvirus,g__unclassified Caudoviricetes genus,g__Eurybiavirus,g__Anayavirus,g__Tefnutvirus,g__Derbicusvirus,g__Uetakevirus,g__Decapodiridovirus,g__Marseillevirus
g__Cheoctovirus,g__Pankowvirus,g__Agtrevirus,g__Neptunevirus,g__Capnelvirus,g__Xiamenvirus,g__unclassified Caudoviricetes genus,g__Angelvirus,g__Chlorovirus,g__Sednavirus,g__Oneupvirus,g__Uetakevirus,g__Epseptimavirus,g__Kagunavirus
g__Cheoctovirus,g__Pankowvirus,g__Tequatrovirus,g__Neptunevirus,g__Cheoctovirus,g__Pankowvirus,g__unclassified Caudoviricetes genus,g__Plymouthvirus,g__Tequintavirus,g__Sednavirus,g__Godonkavirus,g__Stanholtvirus,g__Gustavvirus,g__Lederbergvirus
g__Tequatrovirus,g__unclassified Caudoviricetes genus,g__Krischvirus,g__Neptunevirus,g__Casadabanvirus,g__unclassified Caudoviricetes genus,g__Krischvirus,g__unclassified Kyanoviridae genus,g__unclassified Viruses genus,g__Kajamvirus,g__Fairfaxidumvirus,g__Stanholtvirus,g__Gustavvirus,g__Pekhitvirus
g__Tequintavirus,g__unclassified Caudoviricetes genus,g__Mosigvirus,g__Nerrivikvirus,g__unclassified Caudoviricetes genus,g__unclassified Caudoviricetes genus,g__Agtrevirus,g__unclassified Caudoviricetes genus,g__Cheoctovirus,g__Kajamvirus,g__Fairfaxidumvirus,g__Prasinovirus,g__Inbricusvirus,g__Pagavirus
g__Jiaodavirus,g__Bixzunavirus,g__Kafunavirus,g__Nerrivikvirus,g__unclassified Caudoviricetes genus,g__unclassified Caudoviricetes genus,g__Avipoxvirus,g__Oryzopoxvirus,g__Marseillevirus,g__Llyrvirus,g__Vapseptimavirus,g__Prasinovirus,g__Tequintavirus,g__Powvirus
g__Epseptimavirus,g__Neptunevirus,g__Ascovirus,g__Nerrivikvirus,g__unclassified Caudoviricetes genus,g__unclassified Caudoviricetes genus,g__unclassified Caudoviricetes genus,g__unclassified Caudoviricetes genus,g__Tequintavirus,g__Llyrvirus,g__Zitchvirus,g__Capripoxvirus,g__Tlsvirus,g__unclassified Caudoviricetes genus
g__Tequatrovirus,g__Neptunevirus,g__Yokohamavirus,g__Neptunevirus,g__unclassified Caudoviricetes genus,g__unclassified Caudoviricetes genus,g__Neptunevirus,g__unclassified Marseilleviridae genus,g__Tequintavirus,g__Llyrvirus,g__Zitchvirus,g__Capripoxvirus,g__Avipoxvirus,g__unclassified Caudoviricetes genus
g__Mosigvirus,g__Rheavirus,g__Moumouvirus,g__Neptunevirus,g__Fromanvirus,g__Neptunevirus,g__Neptunevirus,g__Tequatrovirus,g__Busanvirus,g__unclassified Caudoviricetes genus,g__Klausavirus,g__Traversvirus,g__Prasinovirus,g__Anaposvirus
g__Epseptimavirus,g__Marseillevirus,g__Moumouvirus,g__Neptunevirus,g__Nipunavirus,g__Neptunevirus,g__Rheavirus,g__unclassified Kyanoviridae genus,g__Keshuvirus,g__unclassified Caudoviricetes genus,g__Fairfaxidumvirus,g__Lingvirus,g__Kratiovirus,g__Anaposvirus
g__Tequintavirus,g__Slopekvirus,g__Betaentomopoxvirus,g__unclassified Caudoviricetes genus,g__Pamexvirus,g__Rheavirus,g__Rheavirus,g__Erskinevirus,g__Timquatrovirus,g__unclassified Caudoviricetes genus,g__Anayavirus,g__Tritonvirus,g__Kaypoctavirus,g__Neritesvirus
g__Tequatrovirus,g__Pekhitvirus,g__Betaentomopoxvirus,g__Tangaroavirus,g__Pamexvirus,g__Marseillevirus,g__Rheavirus,g__Thaumasvirus,g__Tequintavirus,g__Broinstvirus,g__Marthavirus,g__Ormenosvirus,g__Pandoravirus,g__Neritesvirus
g__Tequatrovirus,g__Pagavirus,g__Betaentomopoxvirus,g__Sednavirus,g__Siovirus,g__Lederbergvirus,g__Marseillevirus,g__Centapoxvirus,g__Tequintavirus,g__unclassified Caudoviricetes genus,g__Kryptosalinivirus,g__Ormenosvirus,g__Traversvirus,g__Tefnutvirus
g__Mosigvirus,g__Powvirus,g__Betaentomopoxvirus,g__Eurybiavirus,g__Cheoctovirus,g__Pekhitvirus,g__Slopekvirus,g__Centapoxvirus,g__unclassified Phycodnaviridae genus,g__unclassified Caudoviricetes genus,g__Klausavirus,g__Orthopoxvirus,g__Riverridervirus,g__Tefnutvirus
g__Epseptimavirus,g__Anaposvirus,g__Betaentomopoxvirus,g__Eurybiavirus,g__Yokohamavirus,g__Pagavirus,g__Slopekvirus,g__Namakavirus,g__Anayavirus,g__Raunefjordenvirus,g__Muminvirus,g__Jerseyvirus,g__Kelquatrovirus,g__Sednavirus
g__Epseptimavirus,g__Anaposvirus,g__Betaentomopoxvirus,g__Eurybiavirus,g__Yokohamavirus,g__Powvirus,g__Slopekvirus,g__Namakavirus,g__Epseptimavirus,g__Raunefjordenvirus,g__Hattifnattvirus,g__Jerseyvirus,g__Buchananvirus,g__Kajamvirus
g__Cheoctovirus,g__Neritesvirus,g__Kostyavirus,g__unclassified Caudoviricetes genus,g__Yokohamavirus,g__unclassified Caudoviricetes genus,g__Karamvirus,g__Galenevirus,g__Tequintavirus,g__Roufvirus,g__Lillamyvirus,g__Jerseyvirus,g__Kratiovirus,g__Llyrvirus
g__Tequatrovirus,g__Neritesvirus,g__Fishburnevirus,g__Angelvirus,g__Moumouvirus,g__Anaposvirus,g__Karamvirus,g__Seoulvirus,g__Epseptimavirus,g__Roufvirus,g__Lillamyvirus,g__Thetisvirus,g__Tlsvirus,g__Llyrvirus
g__Tequatrovirus,g__Tefnutvirus,g__Fromanvirus,g__unclassified Kyanoviridae genus,g__Asteriusvirus,g__Anaposvirus,g__Pekhitvirus,g__Megavirus,g__Risingsunvirus,g__unclassified Caudoviricetes genus,g__Lillamyvirus,g__Thetisvirus,g__Yonginvirus,g__Llyrvirus
g__Tequatrovirus,g__Tefnutvirus,g__Kostyavirus,g__unclassified Caudoviricetes genus,g__Betaentomopoxvirus,g__Neritesvirus,g__Pagavirus,g__unclassified Caudoviricetes genus,g__unclassified Iridoviridae genus,g__unclassified Caudoviricetes genus,g__Muminvirus,g__Nilusvirus,g__Tequintavirus,g__Llyrvirus
g__Cheoctovirus,g__Sednavirus,g__unclassified Straboviridae genus,g__unclassified Caudoviricetes genus,g__Betaentomopoxvirus,g__Neritesvirus,g__Powvirus,g__Aurunvirus,g__Decapodiridovirus,g__unclassified Caudoviricetes genus,g__Muminvirus,g__Nilusvirus,g__Tequintavirus,g__unclassified Caudoviricetes genus
g__Epseptimavirus,g__Kajamvirus,g__Kostyavirus,g__unclassified Caudoviricetes genus,g__Betaentomopoxvirus,g__Tefnutvirus,g__unclassified Caudoviricetes genus,g__Aurunvirus,g__Epseptimavirus,g__Poseidonvirus,g__Lillamyvirus,g__Nilusvirus,g__Trinevirus,g__unclassified Caudoviricetes genus
g__Epseptimavirus,g__Llyrvirus,g__Kostyavirus,g__Eiauvirus,g__Betaentomopoxvirus,g__Tefnutvirus,g__Anaposvirus,g__unclassified Caudoviricetes genus,g__Kagunavirus,g__Poseidonvirus,g__Lillamyvirus,g__Vellamovirus,g__Epseptimavirus,g__unclassified Caudoviricetes genus
g__Tequintavirus,g__Llyrvirus,g__Fernvirus,g__unclassified Marseilleviridae genus,g__Betaentomopoxvirus,g__Sednavirus,g__Anaposvirus,g__Schizotequatrovirus,g__Tequintavirus,g__Poseidonvirus,g__Lillamyvirus,g__Vellamovirus,g__Epseptimavirus,g__unclassified Caudoviricetes genus
g__Tequatrovirus,g__unclassified Caudoviricetes genus,g__Cheoctovirus,g__Tequatrovirus,g__Cheoctovirus,g__Kajamvirus,g__Neritesvirus,g__Moumouvirus,g__Cinqassovirus,g__unclassified Caudoviricetes genus,g__Muminvirus,g__Thaumasvirus,g__Epseptimavirus,g__unclassified Caudoviricetes genus
g__Tequatrovirus,g__unclassified Caudoviricetes genus,g__Cheoctovirus,g__unclassified Kyanoviridae genus,g__Kostyavirus,g__Llyrvirus,g__Neritesvirus,g__Moumouvirus,g__Avipoxvirus,g__unclassified Caudoviricetes genus,g__Ayohtrevirus,g__Tangaroavirus,g__Epseptimavirus,g__unclassified Caudoviricetes genus
g__Tequatrovirus,g__unclassified Caudoviricetes genus,g__Kostyavirus,g__Thaumasvirus,g__Fishburnevirus,g__Llyrvirus,g__Tefnutvirus,g__Moumouvirus,g__Higashivirus,g__unclassified Caudoviricetes genus,g__Gemsvirus,g__Tangaroavirus,g__Epseptimavirus,g__unclassified Caudoviricetes genus
g__Tequatrovirus,g__unclassified Caudoviricetes genus,g__Pandoravirus,g__Thaumasvirus,g__Cheoctovirus,g__Llyrvirus,g__Tefnutvirus,g__unclassified Autographiviridae genus,g__Prasinovirus,g__Prasinovirus,g__Ashivirus,g__Tangaroavirus,g__Tequintavirus,g__unclassified Caudoviricetes genus
g__Sonalivirus,g__unclassified Caudoviricetes genus,g__Pandoravirus,g__Tequatrovirus,g__Fromanvirus,g__unclassified Caudoviricetes genus,g__Sednavirus,g__Bristolvirus,g__Traversvirus,g__unclassified Caudoviricetes genus,g__Fishburnevirus,g__Tritonvirus,g__Epseptimavirus,g__unclassified Caudoviricetes genus
g__Epseptimavirus,g__unclassified Caudoviricetes genus,g__Tequatrovirus,g__Tequatrovirus,g__Kostyavirus,g__unclassified Caudoviricetes genus,g__Kajamvirus,g__Vellamovirus,g__Kelquatrovirus,g__Lirvirus,g__Harrisonburgvirus,g__Brizovirus,g__Epseptimavirus,g__unclassified Caudoviricetes genus
g__Tequatrovirus,g__Matsuvirus,g__Fromanvirus,g__Namakavirus,g__Cheoctovirus,g__unclassified Caudoviricetes genus,g__Llyrvirus,g__Vellamovirus,g__Cheoctovirus,g__Lirvirus,g__Harrisonburgvirus,g__Brizovirus,g__Epseptimavirus,g__unclassified Caudoviricetes genus
g__Cheoctovirus,g__unclassified Caudoviricetes genus,g__Kostyavirus,g__Namakavirus,g__Kostyavirus,g__unclassified Caudoviricetes genus,g__Llyrvirus,g__Betaentomopoxvirus,g__Cheoctovirus,g__Neptunevirus,g__Nevillevirus,g__Ahtivirus,g__Tlsvirus,g__Roufvirus
g__Thetabobvirus,g__Poseidonvirus,g__Kostyavirus,g__Galenevirus,g__Igirivirus,g__Poseidonvirus,g__unclassified Caudoviricetes genus,g__Betaentomopoxvirus,g__Cheoctovirus,g__Neptunevirus,g__Wizardvirus,g__Ahtivirus,g__Tlsvirus,g__Roufvirus
g__Tequintavirus,g__Poseidonvirus,g__Kostyavirus,g__Megavirus,g__Baikalvirus,g__Poseidonvirus,g__unclassified Caudoviricetes genus,g__Betaentomopoxvirus,g__Punavirus,g__Lasallevirus,g__Canhaevirus,g__Pontusvirus,g__Lambdavirus,g__unclassified Caudoviricetes genus
g__Celiavirus,g__unclassified Caudoviricetes genus,g__Mosigvirus,g__unclassified Caudoviricetes genus,g__Cheoctovirus,g__Prasinovirus,g__unclassified Caudoviricetes genus,g__unclassified Straboviridae genus,g__Tequintavirus,g__Nerrivikvirus,g__Aurodevirus,g__Pontusvirus,g__Casadabanvirus,g__unclassified Caudoviricetes genus
g__Tequatrovirus,g__Stoningtonvirus,g__unclassified Viruses genus,g__Slopekvirus,g__Cheoctovirus,g__Prasinovirus,g__unclassified Caudoviricetes genus,g__Baltivirus,g__Tequintavirus,g__Nerrivikvirus,g__Mimasvirus,g__Glaucusvirus,g__Kratiovirus,g__Poseidonvirus
g__unclassified Caudoviricetes genus,g__Stoningtonvirus,g__unclassified Viruses genus,g__Dibbivirus,g__Cheoctovirus,g__Prasinovirus,g__Poseidonvirus,g__Vespertilionpoxvirus,g__Epseptimavirus,g__Nerrivikvirus,g__Glaedevirus,g__Glaucusvirus,g__Cheoctovirus,g__Poseidonvirus
g__unclassified Caudoviricetes genus,g__Prasinovirus,g__Kuttervirus,g__Aurunvirus,g__Cheoctovirus,g__Lirvirus,g__Poseidonvirus,g__Vespertilionpoxvirus,g__Epseptimavirus,g__Neptunevirus,g__Stanholtvirus,g__Lipsvirus,g__Kratiovirus,g__unclassified Caudoviricetes genus
g__Tequatrovirus,g__Prasinovirus,g__Kuttervirus,g__Aurunvirus,g__Kostyavirus,g__Lirvirus,g__Prasinovirus,g__Igirivirus,g__Epseptimavirus,g__Neptunevirus,g__Stanholtvirus,g__Palaemonvirus,g__Tlsvirus,g__unclassified Caudoviricetes genus
